0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9867,0.0007	0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1e-04,0.4591,0.5173,0.9996,0.0011,0.0	1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.1045,0.8559,0.9944,0.0246,0.0	0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,1e-04,1.0,0.0,0.9894,0.0216,0.0,0.0556,0.993	0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0004,0.0,0.9999,1.0,0.0,0.0,0.0009,0.9985	0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0	0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0003,1.0,0.0,0.0,1.0,0.0	1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1e-04,0.0105,0.9893,1.0,0.0,0.0	1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.5622,0.4095,0.9534,0.1027,0.0	0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,1e-04,0.0447,0.9586,0.9899,0.0154,0.0	1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9998,0.0	0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0003,0.0,0.0,0.9997,1.0,0.0,0.0,1.0,0.0	0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.0,1e-04,1.0,0.0,0.9977,0.0052,0.0,0.3934,0.8038	0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0007,0.9999,0.0,1.0,0.0,0.0,0.1534,0.9849	0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0	0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0169,0.0	0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,1e-04,0.3054,0.6616,1.0,0.0,0.0	1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
