0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0	0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0049,1e-04,0.4532	0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9941,0.9697	0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0004,0.0,1.0,0.0,0.0,0.9992	1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.9997,1.0,0.0,1.0,0.0,0.0	0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.1288,0.0,0.0264	0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.3056,0.038,1e-04	0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0003,0.0,0.0,0.9999,1.0,0.0,0.0,0.0116,0.9967	1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9697,0.0296	0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0007,0.9977	0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.2965,0.0,0.0,0.8602,1.0,0.0,0.0,0.0737,0.8018	1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0028,0.9974	0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.9206,0.0,0.0,0.4413,0.9878,0.0033,0.0,0.0,0.9999	1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0004	0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.9741,1e-04,0.0,0.0,1.0	0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1e-04,0.0,1.0,0.0,0.0,0.0,1.0	0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9048,0.019	0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
